Cycle,Battery ID,Min Voltage (V),Max Voltage (V),Internal Resistance (Ohms),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),SOH (%),Charge-Discharge Efficiency (%),Energy Efficiency (%)
1,B0047,3.486189216310417,4.214594585505835,3.533488615781819,1.541610675539685,1.5243662105099025,6.418829377371086,5.381011035806592,76.21831052549513,98.88139948020628,83.83165713637419
2,B0047,3.2527192825719458,4.214574140334718,3.527599193513284,1.5378492651891895,1.5080762969973425,6.378709385871845,5.31560563750951,75.40381484986712,98.06398657750216,83.33356037951822
3,B0047,3.255398852175642,4.214573442739502,3.542125458805933,1.5215180112055775,1.4835577960067696,6.3193326963924985,5.240549586316559,74.17788980033848,97.50510904772464,82.92884451721014
4,B0047,3.3028547514790385,4.21468419824127,3.5470381103426942,1.5037574399474285,1.4671391666146525,6.253746803219743,5.177300003612876,73.35695833073262,97.56488165178712,82.78717010012849
5,B0047,3.3256214390909524,4.214636526179533,3.5618792733242,1.4868877003494227,1.448858156982267,6.1878885644758,5.109969763837349,72.44290784911335,97.44233923259848,82.58018402550587
6,B0047,3.588626761315376,4.214551087827655,3.543873773646072,1.467398049803582,1.4458534180949325,6.132119826777082,5.072681383088056,72.29267090474663,98.53177999578686,82.72312880999513
7,B0047,3.57949020504814,4.214562334215193,3.58783129165716,1.4734639142077706,1.431118266178283,6.146261261300322,5.047060195444058,71.55591330891416,97.12611570455356,82.11593977012762
8,B0047,3.402552874958839,4.214628427741857,3.599804832725027,1.4586703410294426,1.419274551657853,6.075195066375279,4.982285156270496,70.96372758289266,97.29919857397071,82.01029105791562
9,B0047,3.424690875485532,4.21456564331092,3.605833571327624,1.4369518724142585,1.3999974221808271,5.987252591783751,4.9220630044459455,69.99987110904135,97.42827502139347,82.20904211057415
10,B0047,3.43727053727747,4.214592980625481,3.612394972709865,1.4214788178209974,1.3885156686114437,5.92803454416763,4.864973731189526,69.42578343057218,97.68106645021392,82.06722978657388
11,B0047,3.450254727468687,4.214631128590447,3.6159350459950166,1.406795753742769,1.3652234669528964,5.872822155983291,4.813667762588777,68.26117334764483,97.04489534608916,81.96515465200258
12,B0047,3.657644791947994,4.214615829876236,3.5642197871339145,1.389172455736432,1.4060442272970963,5.811336175762038,4.935609639109876,70.30221136485481,101.2145195861748,84.93071971460456
13,B0047,3.60167369033334,4.214562251074727,3.6122956350861286,1.4503337853204337,1.405754161352578,6.066545170806609,4.939021393018356,70.2877080676289,96.92625074179,81.41407100677142
14,B0047,3.437238415036019,4.214638123389504,3.6245512610672312,1.4284575556380357,1.3867662881727878,5.961326416512841,4.873935540533541,69.33831440863939,97.08137863104892,81.75924618106411
15,B0047,3.454111182103007,4.214584490663374,3.60808740813228,1.4063401436716727,1.3705053061420225,5.872158753027875,4.805739242148829,68.52526530710112,97.45190822498373,81.83939577026649
16,B0047,3.446927933561972,4.214632298643419,3.638584778666421,1.3914545992794185,1.34974311148236,5.811133222544352,4.731897137866886,67.48715557411799,97.00231054475948,81.42813039476434
17,B0047,3.4820159350171007,4.214638081383685,3.64596769699405,1.3710383728276871,1.3251533367939785,5.727310685386465,4.666447549021852,66.25766683969893,96.65326390981504,81.47711561952696
18,B0047,3.674660353290736,4.214698361019494,3.647707366596408,1.350249407156463,1.3111943869635805,5.661938645212365,4.605413566462972,65.55971934817903,97.10756990627904,81.33987058226477
21,B0047,3.5407699946375897,4.2146089830476,3.674418963061421,1.324152193427949,1.2849157142560723,5.5386814226955,4.514875844843612,64.24578571280361,97.0368603120838,81.51535537579929
22,B0047,3.5371499312633867,4.2145701138882,3.662822003217689,1.3147936505540192,1.281719159327807,5.497590464142759,4.472418589156943,64.08595796639035,97.4844348227362,81.35234187281954
23,B0047,3.69657062329643,4.214594542819639,3.678926878158162,1.299975364309287,1.2600051642942829,5.455476282195154,4.416650261858625,63.000258214714144,96.92531096262417,80.95810582612357
24,B0047,3.551888941324372,4.214642305113975,3.6576433627609934,1.2970202199088057,1.266070385993126,5.4291267759337245,4.409524840575314,63.30351929965629,97.61377398435192,81.21978031756211
25,B0047,3.536060969252397,4.214654888738114,3.681204434760352,1.2886902445976032,1.2413590294280803,5.390996724279989,4.34977465481338,62.067951471404015,96.32718449076935,80.6859079550698
26,B0047,3.5593034291230428,4.214572969040827,3.669383610302213,1.2730652338169963,1.2298873703485311,5.3279275728690685,4.304944611809218,61.49436851742656,96.6083542051489,80.79960834548324
